Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_32_665.jpg;0;1;0;0.8025181;99.92857;85.93071;1.201759;53.03379;-0.0004458213
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_32_732.jpg;0;1;0;0.8556985;99.95945;85.97141;1.214833;53.0266;-0.0008872168
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_32_781.jpg;0;1;0;0.8844191;99.99211;86.01447;1.222349;52.96079;-0.0006677229
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_32_831.jpg;0;1;0;0.9306289;100.0149;86.04449;1.224103;52.95158;-0.0008780931
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_32_881.jpg;0;1;0;0.9848679;100.0505;86.09125;1.21639;52.94421;-0.0008114545
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_32_948.jpg;0;1;0;1.016726;100.0877;86.14019;1.209678;52.96656;-0.0005207845
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_33_015.jpg;0;1;0;1.077461;100.1269;86.19173;1.224191;52.93257;-0.0007976866
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_33_065.jpg;0;1;0;1.124037;100.1679;86.24554;1.231235;52.92471;-0.0008530367
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_33_131.jpg;0;1;0;1.166695;100.2103;86.30124;1.223247;52.8867;-0.0004560991
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_33_198.jpg;0;1;0;1.216982;100.2697;86.37914;1.228494;52.83766;-0.0007392711
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_33_248.jpg;-1.423017;1;0;1.260764;100.3007;86.41964;1.23571;52.80896;-0.0005403509
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_33_298.jpg;-2.917543;1;0;1.295202;100.3494;86.48151;1.24088;52.60367;0.000363606
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_33_365.jpg;-5.911964;1;0;1.338976;100.401;86.54438;1.237738;52.14413;0.001944977
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_33_415.jpg;-6.062422;1;0;1.401746;100.4371;86.58688;1.235498;51.71156;0.002230202
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_33_481.jpg;-3.807634;1;0;1.436616;100.5119;86.67503;1.245838;51.06486;0.001658367
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_33_548.jpg;-0.828036;1;0;1.480443;100.5697;86.74399;1.254126;50.83596;0.0003707599
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_33_597.jpg;0;1;0;1.543005;100.6287;86.81544;1.255196;50.78518;-0.0007293511
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_33_664.jpg;0;1;0;1.574153;100.6894;86.88921;1.260063;50.76797;-0.000948078
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_33_714.jpg;0;1;0;1.62037;100.7308;86.93953;1.260848;50.76267;-0.0009914979
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_33_765.jpg;0;1;0;1.66733;100.7945;87.01687;1.267157;50.75069;-0.001018614
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_33_814.jpg;0;1;0;1.71353;100.8379;87.06956;1.267877;50.74289;-0.0009909669
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_33_865.jpg;0;1;0;1.728698;100.9045;87.15042;1.27361;50.73162;-0.001021072
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_33_915.jpg;-2.994908;1;0;1.789643;100.9502;87.20521;1.275138;50.65026;-0.0004627531
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_33_965.jpg;-4.499721;1;0;1.803744;101.0213;87.28802;1.272738;50.26583;0.001303313
